,met,lb,ub
0,2dhglcn_c,9.999999999999994e-05,1.0000000000000002
1,nadh_c,9.999999999999816e-05,2.8331401300858796
2,glcn_c,9.999999999999816e-05,0.751009460922482
3,nad_c,9.999999999999958e-05,21.680209268635853
4,nadph_c,9.999999999999994e-05,2.8197358694660406
5,nadp_c,9.999999999999816e-05,0.06950785924102032
6,2dhguln_c,9.999999999999958e-05,1.0000000000000002
7,idon-L_c,9.999999999999994e-05,1.0000000000000002
8,o2_c,0.10000000000000009,0.2470978718328591
9,h2o_c,1000.0000000000142,1000.0000000000142
10,pi_c,20.0,25.0
11,5dglcn_c,9.999999999999994e-05,1.0000000000000147
12,ru5p-D_c,0.2529258990048428,0.43422349673789307
13,ara5p_c,9.999999999999994e-05,1.0000000000000002
14,ACP_c,9.999999999999994e-05,1.0000000000000002
15,atp_c,1.07390928425843,1.5488588623986213
16,ttdca_c,9.999999999999994e-05,1.0000000000000002
17,amp_c,9.999999999999887e-05,2.099753181512876
18,myrsACP_c,9.999999999999994e-05,1.0000000000000002
19,ppi_c,9.999999999999887e-05,1.000000000000009
20,ttdcea_c,9.999999999999994e-05,1.0000000000000002
21,tdeACP_c,9.999999999999994e-05,1.0000000000000002
22,hdca_c,9.999999999999994e-05,1.0000000000000002
23,palmACP_c,9.999999999999994e-05,1.0000000000000002
24,hdcea_c,9.999999999999994e-05,1.0000000000000002
25,hdeACP_c,9.999999999999958e-05,1.0000000000000002
26,ocdcea_c,9.999999999999994e-05,1.0000000000000002
27,octeACP_c,9.999999999999958e-05,1.0000000000000002
28,dtdp_c,0.7920570976154991,1.6723844264994927
29,g6p_c,0.8331641916238636,1.1413781466564306
30,4abut_c,9.999999999999958e-05,1.0000000000000002
31,akg_c,0.22332074810516525,0.30345089799289304
32,glu-L_c,14.48329556099599,19.196262456452807
33,sucsal_c,9.999999999999994e-05,1.0000000000000002
34,4abutn_c,9.999999999999994e-05,1.0000000000000002
35,accoa_c,9.999999999999994e-05,3.01974343384571
36,ac_c,0.00048291167244015617,1.0000000000000002
37,coa_c,9.999999999999994e-05,94.4583161872691
38,acald_c,9.999999999999816e-05,1.0000000000000002
39,gtp_c,0.8181857847443271,1.5193640729881532
40,co2tot_c,0.1999999999999977,0.4000000000000001
41,adp_c,0.5804872270140016,0.7666542358275786
42,malcoa_c,9.999999999999994e-05,6.2549057746590115
43,ppa_c,9.999999999999994e-05,1.000000000000009
44,ppcoa_c,0.008585566440419887,0.02780710200274305
45,uacgam_c,1.9891701059352,48.07363043748245
46,udcpp_c,9.999999999999994e-05,1.0000000000000002
47,ump_c,9.999999999999816e-05,1.0000000000000002
48,acglu_c,9.999999999999958e-05,1.0000000000000002
49,acg5p_c,9.999999999999994e-05,1.000000000000009
50,2obut_c,9.999999999999994e-05,1.0000000000000002
51,pyr_c,9.999999999999887e-05,16.54093737387252
52,2ahbut_c,9.999999999999816e-05,1.0000000000000002
53,actp_c,9.999999999999816e-05,4.9183975755305696
54,alac-S_c,9.999999999999816e-05,1.0000000000000002
55,udp_c,2.422483476964924,10.133264217369797
56,acACP_c,9.999999999999994e-05,1.0000000000000147
57,acorn_c,9.999999999999816e-05,2.643720488381686
58,orn_c,9.999999999999816e-05,0.23316039947858894
59,amet_c,9.999999999999816e-05,5.425505086089706
60,cit_c,9.999999999999958e-05,58.453682937570036
61,icit_c,0.45278998766924755,0.5604891102588931
62,acg5sa_c,9.999999999999958e-05,1.0000000000000147
63,pap_c,9.999999999999816e-05,1.0000000000000002
64,adn_c,0.00020709858744248958,0.0006919119473422747
65,ins_c,9.999999999999816e-05,1.000000000000009
66,nh3_c,0.04999999999999959,1.0000000000000002
67,4adcho_c,9.9999983554927e-05,1.000000000000009
68,4abz_c,9.999999999999816e-05,1.0000000000000147
69,chor_c,9.999999999999816e-05,1.0000000000000002
70,gln-L_c,1.654744489618875,2.035418883995997
71,ade_c,0.0029568548321777734,0.09141525331664965
72,hxan_c,9.999999999999816e-05,1.0000000000000147
73,gdp_c,0.1917706539297247,0.9177632504334342
74,ametam_c,9.999999999999816e-05,1.0000000000000002
75,gmp_c,0.01956585726149315,0.030276168294363647
76,prpp_c,9.999999999999994e-05,1.000000000000009
77,aps_c,0.011566171110607015,0.03321019014989537
78,paps_c,9.999999999999994e-05,1.0000000000000147
79,dcamp_c,9.999999999999887e-05,1.0000000000000002
80,fum_c,0.36695633853924514,0.5519264085196675
81,25aics_c,9.999999999999816e-05,1.0000000000000002
82,aicar_c,9.999999999999816e-05,1.000000000000009
83,asp-L_c,0.9039711646320768,1.0396074177473242
84,imp_c,0.36417295909872605,3.6236924810315223
85,gam6p_c,9.999999999999958e-05,5.405067300319711
86,adphep-DD_c,0.00012140938235312743,1.0000000000000002
87,adphep-LD_c,9.999999999999816e-05,0.823659572776197
88,ptrc_c,9.999999999999816e-05,1.0000000000000002
89,hcys-L_c,0.8668690873452923,1.4843648755912826
90,10fthf_c,9.999999999999816e-05,1.0000000000000002
91,fprica_c,9.999999999999958e-05,1.0000000000000002
92,thf_c,9.999999999999816e-05,1.000000000000009
93,air_c,9.999999999999816e-05,1.000000000000009
94,5caiz_c,9.999999999999816e-05,1.0000000000000002
95,5aizc_c,9.999999999999816e-05,1.000000000000009
96,ala-D_c,9.999999999999958e-05,1.0000000000000002
97,alaala_c,9.999999999999816e-05,1.0000000000000002
98,ala-L_c,9.999999999999816e-05,11.043674674399105
99,pydx5p_c,9.999999999999816e-05,1.000000000000009
100,pyam5p_c,9.999999999999816e-05,1.0000000000000002
101,glyc_c,9.999999999999958e-05,1.000000000000009
102,malt_c,9.999999999999958e-05,1.000000000000009
103,malttr_c,9.999999999999816e-05,1.000000000000009
104,glc-D_c,9.999999999999816e-05,1.0000000000000002
105,maltttr_c,9.999999999999816e-05,1.0000000000000002
106,maltpt_c,9.999999999999958e-05,1.0000000000000002
107,malthx_c,9.999999999999816e-05,1.0000000000000002
108,malthp_c,9.999999999999958e-05,1.0000000000000147
109,2dmmq8_c,9.999999999999816e-05,1.0000000000000147
110,mqn8_c,9.999999999999816e-05,1.0000000000000002
111,for_c,9.999999999999816e-05,1.0000000000000002
112,r5p_c,0.16566647052920253,0.21990673024630078
113,anth_c,0.001190884734474342,0.014329068932374593
114,pran_c,9.999999999999958e-05,1.0000000000000147
115,5apru_c,9.999999999999816e-05,1.0000000000000147
116,5aprbu_c,9.999999999999816e-05,1.0000000000000147
117,arab-L_c,9.999999999999958e-05,1.0000000000000002
118,arg-L_c,9.999999999999816e-05,48.512102021072934
119,argsuc_c,9.999999999999816e-05,1.0000000000000147
120,citr-L_c,0.47569956151796833,5.838501843992367
121,aspsa_c,9.999999999999816e-05,1.000000000000009
122,4pasp_c,9.999999999999816e-05,1.000000000000009
123,asn-L_c,0.22880172479817568,0.2990276735146681
124,ala-B_c,9.999999999999816e-05,1.0000000000000147
125,cbp_c,9.999999999999816e-05,1.0000000000000002
126,cbasp_c,0.00010533525026811916,3.5050802595628925
127,q8_c,9.999999999999816e-05,1.0000000000000002
128,iasp_c,9.999999999999816e-05,1.0000000000000002
129,q8h2_c,9.999999999999816e-05,1.0000000000000002
130,mql8_c,9.999999999999816e-05,1.000000000000009
